cat 1:0.0336516203704 2:0.0297453703704 3:0.00646412037037 4:0.00309027777778 5:0.00236689814815 6:0.00177083333333 7:0.00181134259259 8:0.001875 9:0.00233796296296 10:0.0027025462963 11:0.00329861111111 12:0.0040162037037 13:0.00489583333333 14:0.0201793981481 15:0.00387731481481 16:0.00794560185185 17:0.00193865740741 18:0.0116435185185 19:0.00144097222222 20:0.00684027777778 21:0.00267939814815 22:0.00936342592593 23:0.0102893518519 24:0.0371990740741 25:0.157048611111 26:0.631527777778 
cat 1:0.0281076388889 2:0.0237210648148 3:0.0108506944444 4:0.00821759259259 5:0.00670138888889 6:0.00673032407407 7:0.00743634259259 8:0.00975115740741 9:0.0109085648148 10:0.0155092592593 11:0.0220717592593 12:0.0401851851852 13:0.0625752314815 14:0.0526793981481 15:0.0242824074074 16:0.0202893518519 17:0.012025462963 18:0.0111458333333 19:0.00694444444444 20:0.00810185185185 21:0.00736689814815 22:0.0109143518519 23:0.0136226851852 24:0.0257060185185 25:0.0441724537037 26:0.509982638889 
cat 1:0.018119212963 2:0.0202083333333 3:0.00745949074074 4:0.00587384259259 5:0.00582175925926 6:0.00723958333333 7:0.00902199074074 8:0.0131944444444 9:0.0169386574074 10:0.0230208333333 11:0.0327430555556 12:0.0628877314815 13:0.0915335648148 14:0.0575752314815 15:0.0289178240741 16:0.0163368055556 17:0.0106712962963 18:0.0089525462963 19:0.00776041666667 20:0.00844907407407 21:0.00688657407407 22:0.00696180555556 23:0.00831018518519 24:0.0243923611111 25:0.0220891203704 26:0.478634259259 
cat 1:0.0219212962963 2:0.0180497685185 3:0.0125289351852 4:0.0109548611111 5:0.011412037037 6:0.0126331018519 7:0.0137094907407 8:0.017650462963 9:0.0208796296296 10:0.0276041666667 11:0.0366956018519 12:0.0637384259259 13:0.0855613425926 14:0.0717708333333 15:0.0376099537037 16:0.0249247685185 17:0.016412037037 18:0.0152719907407 19:0.012337962963 20:0.0129976851852 21:0.0125520833333 22:0.0150289351852 23:0.014994212963 24:0.0180439814815 25:0.0277256944444 26:0.366990740741 
cat 1:0.0294039351852 2:0.0251909722222 3:0.0133796296296 4:0.00978009259259 5:0.00832175925926 6:0.00921875 7:0.00983796296296 8:0.0145775462963 9:0.0172569444444 10:0.02015625 11:0.0261226851852 12:0.0435069444444 13:0.0757060185185 14:0.0456655092593 15:0.0239641203704 16:0.0163657407407 17:0.0117650462963 18:0.0100289351852 19:0.00782986111111 20:0.00803240740741 21:0.00885416666667 22:0.0107175925926 23:0.012181712963 24:0.0216261574074 25:0.0292476851852 26:0.491261574074 
cat 1:0.0256770833333 2:0.0263483796296 3:0.00827546296296 4:0.0056712962963 5:0.00431134259259 6:0.00421296296296 7:0.00499421296296 8:0.00746527777778 9:0.0106365740741 10:0.0161226851852 11:0.0213773148148 12:0.0298148148148 13:0.0311458333333 14:0.0338136574074 15:0.0199768518519 16:0.0163136574074 17:0.0106134259259 18:0.00850115740741 19:0.00552083333333 20:0.00524884259259 21:0.00489583333333 22:0.00659722222222 23:0.00921875 24:0.0260358796296 25:0.029375 26:0.627835648148 
cat 1:0.015787037037 2:0.0150231481481 3:0.00810185185185 4:0.006875 5:0.0056712962963 6:0.00575231481481 7:0.00559606481481 8:0.00670717592593 9:0.00820601851852 10:0.0129224537037 11:0.0165451388889 12:0.0264814814815 13:0.0295891203704 14:0.0507060185185 15:0.0202951388889 16:0.0231481481481 17:0.0109953703704 18:0.02234375 19:0.00642361111111 20:0.0148321759259 21:0.00729166666667 22:0.0177951388889 23:0.0142013888889 24:0.0222222222222 25:0.224814814815 26:0.401672453704 
cat 1:0.0189583333333 2:0.0181886574074 3:0.0110532407407 4:0.0104050925926 5:0.00982638888889 6:0.0103414351852 7:0.0110474537037 8:0.0159143518519 9:0.0190393518519 10:0.0278009259259 11:0.0366724537037 12:0.0535474537037 13:0.0705208333333 14:0.05625 15:0.0352141203704 16:0.0267303240741 17:0.0172800925926 18:0.015625 19:0.0125347222222 20:0.0146527777778 21:0.0124131944444 22:0.0128009259259 23:0.0136574074074 24:0.0176851851852 25:0.0213541666667 26:0.430486111111 
cat 1:0.0235243055556 2:0.022505787037 3:0.00821180555556 4:0.00539930555556 5:0.00515046296296 6:0.00631944444444 7:0.00664930555556 8:0.0111342592593 9:0.0131134259259 10:0.0182638888889 11:0.0225 12:0.0372511574074 13:0.0547800925926 14:0.046880787037 15:0.0225289351852 16:0.0220949074074 17:0.0120023148148 18:0.0158564814815 19:0.00864583333333 20:0.012974537037 21:0.0082349537037 22:0.0133101851852 23:0.0131597222222 24:0.0263657407407 25:0.0474826388889 26:0.515659722222 
cat 1:0.0286111111111 2:0.0190625 3:0.0134490740741 4:0.0146643518519 5:0.0134953703704 6:0.0137268518519 7:0.0146238425926 8:0.0169212962963 9:0.0212037037037 10:0.0283043981481 11:0.0381886574074 12:0.0497974537037 13:0.0574884259259 14:0.0490740740741 15:0.0314814814815 16:0.0230208333333 17:0.0161111111111 18:0.0133564814815 19:0.0107638888889 20:0.0113194444444 21:0.0115972222222 22:0.0129571759259 23:0.0124074074074 24:0.0186689814815 25:0.0314699074074 26:0.428234953704 
